Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
Renault Captur 2013;https://www.autopareri.com/forums/topic/53994-renault-captur-2013?&page=212#comments;11/01/2014 08:35;SOLE;;"premesso che ho il condizionatore manuale dovresti controllare se in modalità eco con la spia a/c spenta mandando l'aria al parabrezza o ai piedi+parabrezza si accende l'aria condizionata senza che si accenda la spia a/C in quella modalità se sei ""non"" eco il condizionatore si accende ed hai la spia a/c spenta ) ";Renault;Captur;neutro;;;;;;;;;;neutro;;
Il mito della fiat uno turbo discutiamone;https://forum.quattroruote.it/threads/il-mito-della-fiat-uno-turbo-discutiamone.121555/;04/03/2019 00:00;Bigboy994;"""Secondo me erano cambiati i tempi. Della 600 c'era la versione Sporting e più tardi la Panda in versione 100 HP. Però a me sembrano oggetti molto diversi da quelle sportivette anni 80 che erano figlie del loro tempo.""";Parlo della panda 1 serie e la seicento era sporting solo di carrozzeria ;Fiat;;neutro;;;neutro;;;;;;;;;
come dare brio ad un 1.4 benza?;https://www.bmwpassion.com/forum/threads/come-dare-brio-ad-un-1-4-benza.46641/;12/07/2006 00:00;fasolini6;;Come da titolo...come dare un pochino più di brio ad un 1.4 8v 77cv benzina ? ( grande punto ) .filtro a pannello serve a qualcosa ? altro ? ;Fiat;Grande Punto;neutro;;;;;negativo;;negativo;;;;neutro;
LIVELLO OLIO CAYMAN;http://www.porschemania.it/discus/messages/502416/368874.html?1206722886;28/03/2008 17:25;thyco;;quoto manrico... assolutamente si... non ti conviene mettere su il telefono aftermarket.. ma puoi guardare i file che spiegano le procedure sul caymanclub americano... quando posti le foto postale con qualche dolce fanciulla con collant adagiata sul cofano ! apprezzzabilissimo bel lavoro il tuo ! ;Porsche;Cayman;positivo;;;;;;;;;;neutro;neutro;
prima foto mazda 3 2014;https://forum.quattroruote.it/threads/prima-foto-mazda-3-2014.79144/;25/06/2013 00:00;pegasus_fantasy;;Molto bella ! ! ! ! Solo la forma del portellone non è che mi convinca troppo. Assomiglia ad una Mitsubishi.. ;Mazda;3;positivo;;;negativo;;;;;;;;;
Mondiale F.1 - GP d'Inghilterra 2018;https://forum.quattroruote.it/threads/mondiale-f-1-gp-dinghilterra-2018.117288/page-2;06/07/2018 00:00;Frankie71iceman;'Se tutto va a bord i soldi del cartellino la Juve spa i soldi li ha in tasca con l aumento delle azioni negli ultimi 5 giorni dal 7 al 11 % che fanno come dicono 150 milioni i 30 milioni annui se li paga al 50% lo stesso Ronaldo quind la Fiat mi sa che paga un CR7 allo stesso prezzo di un Buffon... Poi si parla anche della Hyundai come possibile Sponsor chissa che pure li non nasce un altro matrimonio?';"Aspetta un attimo qua ci va un mega-OT ma avendo studiato finanza non posso esimermi ( so già che i mod per punizione mi spediranno a fare una gara a montecarlo io con un kart e Vertsappen e Maldonado con un Hummer H1 ) . La cosa della Juve che ha guadagnato in borsa e quindi si è arricchita e quindi adesso ha i soldi per comprare Ronaldo è una mezza vaccata. Il titolo ha guadagnato ma chi ne ha avuto un vantaggio sono gli azionisti ( cioè gli Agnelli sì ma non solo...non è che si intascano tutto loro il guadagno derivante dall'aumento del valore del titolo ma solo la loro quota ) . Però questo vantaggio si concretizza nel momento in cui uno le vende le azioni e dubito che gli Agnelli abbiano intenzione di farlo quindi è una cosa puramente contabile non è che ora la Juventus ha più soldi in cassa rispetto a ieri eh . E' comunque un'ottimo segnale ( il meccanismo per cui sale il prezzo è perchè in tanti vogliono comprare le azioni Juventus cioè in tanti vogliono ""diventarne padroni"" perchè in tanti ritengono che l'azienda vada bene e quindi valga la pena partecipare al capitale ) ma non è che sia nulla di concreto sennò per estremizzare il concetto basterebbe che il Milan dichiari che vuole prendere Messi il titolo vola entrano soldi e lo comprano davvero..eh no non è che funzioni proprio così Mi faccio perdonare per il monster-OT facendo notare che vale la stessa cosa quando il titolo FCA sale in borsa perchè la Ferrari vince: ottima notizia ma non è che istantaneamente FCA ha più soldi...e non basta dire che il titolo FCA voli in borsa poi le macchine van vendute... Per quanto riguarda la partnership col gruppo Hyundai/Kia Marchionne ci sta provando da un pò ma in Corea non sembrano particolarmente interessati. Sarebbe un gran bel colpo e significherebbe non abbandonare la Punto ( che potrebbe essere condivisa con la i20 ) . Anche se non ce lo vedo moltissimo CR7 a girare per Torino con una Kia Picanto... ";FCA;;neutro;neutro;;;;;;;;;;;
Honda non vende;https://forum.quattroruote.it/threads/honda-non-vende.111493/page-20;08/05/2018 00:00;albelilly;"""Quattroruote di maggio è uscito il 26 aprile per cui conterrà le immatricolazioni di marz non credo abbiano poteri divinatori... http://carsalesbase.com/european-car-sales-data/honda/ Marzo è un mese anomalo in quanto in genere riporta una parte delle consegne di contratti firmati a fine anno precedent ma soprattutto gode delle immatricolazioni dovute alla chiusura dell'anno fiscale per chi opera in UK. E' per questo che Hond che percentualmente vende parecchio in U presenta due picchi di vendita a marzo e settembr entrambi chiusura di un semestre. Non è improbabile che buona parte di quel picco di immatricolato finisca nel circuito del Km0 o pronta consegna ingles con dinamiche simili a quelle nostrane per le quali in prossimità di una scadenz anche solo il fine mes scatta la pratica dell'autoimmatricolazione al punto di concentrare il 50% delle targhe negli ultimi 3-4 giorni di ogni mese...""";si intendevo dire le immatricolazioni di marzo.... e comunque i numeri di 4R si riferiscono all'immatricolato in Italia con queste cifre le dinamiche in UK non c'entrano niente dubito che abbiano riverbero anche sul mercato italiano Piuttosto potrebbero essere gli esemplari andati in consegna che sono stati ordinati magari ancora a fine 2017 o inizio di quest'anno. Vedremo i numeri di aprile se questi crolleranno ai livelli soliti è segno che i dati di marzo sono stati il classico fuoco di paglia. ;Honda;;neutro;negativo;;;;;;;;;;;
Ferrari 599 GTO;https://forum.quattroruote.it/threads/ferrari-599-gto.27716/;08/04/2010 00:00;vuotto63;;Mi pare di ricordare costi sui 330K comunque sono gia' tutte e 599 assegnate : ! : Come erede della GTO ......ni nel senso : è senz' altro un gran mezzo ma quelle erano un' auto da corsa targata la prima e la base per un ' auto da corsa ( gruppo B che poi fu abolito ) la seconda.Un' altra cosa semplicemente ;Ferrari;599;neutro;positivo;;;;;;;;;;;
Campionato kart;https://www.bmwpassion.com/forum/threads/campionato-kart.139552/page-13;29/01/2009 00:00;Zanga;;No non c'è asfalto c'è ( credo ) cemento ma non so dirti con precisione. Non è gommoso comunque anzi adesso che non è gommata causa pulizia estiva è molto scivolosa Il che la rende divertente anche coi tosaerba 4 tempi. :wink: Alla pista di Rozzano di cui si parlava io coi rasaerba faccio tutta la seconda metà del circuito in pieno Dopo un po' diventa noioso. Coi 125 invece ci si diverte mooooooooooolto di più ;;;positivo;;;;;;;;;;;;
Mazda 3 2013;https://www.autopareri.com/forums/topic/52084-mazda-3-2013?&page=32#comments;11/11/2013 09:38;MaurizioXP;;peccato per il ruotino mi viene da pensare che il pianale sia troppo alto ( si vede dall'altezza del fondo del bagagliaio ) per colpa delle sospensioni posteriori ingombranti inoltre questo secondo me spiegherebbe in parte anche le dimensioni esterne: essendo il fondo del bagagliaio così alto l'hanno dovuto fare lungo perchè avesse una capienza accettabile. ;Mazda;3;neutro;;neutro;;neutro;;;;;;;;
