Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
Sua Maestà Aston Martin;https://www.bmwpassion.com/forum/threads/sua-maest%C3%A0-aston-martin.49061/;23/08/2004 00:00;mamo;'Mam non ci vedi? ';La Regina è ovviamente a Francoforte.Ecco qualche foto...http://www.autoblog.it/post/10135/francoforte-2007-aston-martin-v8-vantage-n400--http://www.autoblog.it/post/10138/francoforte-2007-aston-martin-db9-le-mans--http://www.autoblog.it/galleria/francoforte-2007-aston-martin-dbs/ ;Aston Martin;;positivo;molto positivo;;;;;;;;;;;
Volvo C70 (Topic Ufficiale - 2005);https://www.autopareri.com/forums/topic/13281-volvo-c70-topic-ufficiale-2005?&page=4#comments;14/07/2005 09:33;carrera4;;questo credo sia uno shop http://www.channel4.com/4car/gallery/spy-shots-2004/F/ford-focus-convertible/focus-variants.html da un auto ricavarono tutte le varianti ! ;Ford;Focus;neutro;;;;;;;;;;;;
se l'Alfa fosse indipendente...;https://www.autopareri.com/forums/topic/14745-se-lalfa-fosse-indipendente?&page=17#comments;15/08/2005 21:47;il FUSI;;Mi sa....... ;Alfa Romeo;;neutro;;;;;;;;;;;;
Consiglio gomme online;https://forum.quattroruote.it/threads/consiglio-gomme-online.89063/;26/06/2014 00:00;maurochimenton;;ciao combinazione sono della mia città ci sono stato personalmente e nella loro sede non hanno un solo pneumatico perchè sono dei mediatori cioè comprano e spediscono senza vedere la merce comunque la cosa funziona io ho comprato 2 treni per la ix35 e per la punto tutti invernali e orientali ho speso poco e vanno bene controlla solo le caratteristiche del pneum. da te scelto ci sono delle tabelle comparative di rumorosità e tenuta sui vari fondi. spero di essere stato utile ciao ;Fiat;Panda;positivo;;;;;;;;;;;;positivo
Account ufficiale Ford Italia. Saluti.;https://forum.quattroruote.it/threads/account-ufficiale-ford-italia-saluti.50372/page-3;14/05/2011 00:00;vrom;"""Pero' nei loro foru i clienti non ne parlano molt contrariamente invece a quello che succede nel forum for dov nella maggioranza dei casi riportati dai client non si parla altro che di auto difettose e con problemi""";tanto per gradire: http://forum.quattroruote.it/posts/list/54405.page http://forum.quattroruote.it/posts/list/54365.page http://forum.quattroruote.it/posts/list/43185.page http://forum.quattroruote.it/posts/list/53135.page http://forum.quattroruote.it/posts/list/54342.page ;Ford;;neutro;;;;;;;;;;;;
Preventivi Mazda CX5;https://forum.quattroruote.it/threads/preventivi-mazda-cx5.62333/page-3;31/03/2012 00:00;nchiar;"""Che noia... Vuoi i numeri? http://carscoop.blogspot.it/2012/01/us-diesel-car-sales-grow-by-staggering.html I diesel hanno il 3% del mercato in america. http://www.buyingadvice.com/auto-buying-tips/automatic-vs-manualtransmission/ L'84% dei veicoli americani monta il cambio automatico. Erg venderlo non ha senso! Aggiungo pure che i cambi automatici solitamente sono associati alle sportive e non ai suv così come il diesel che è una soluzione di ripiego per le famigliari.""";;Mazda;CX5;neutro;;;;;;;;;;;;
Forester - Prova statica impressioni curiosità;https://forum.quattroruote.it/threads/forester-prova-statica-impressioni-curiosit%C3%A0.118588/page-16;07/12/2018 00:00;John_Congos;;sono passato ieri da un concessionario S. e mi hanno detto che se anche dovesse passare la tassa se lo accollano loro ( suppongo a che tipo di contratto o scontistica viene pattuito un acquisto ) ;Skoda;Forester;positivo;;;;;;;;;;;;positivo
BMW 700 Coupè;https://www.bmwpassion.com/forum/threads/bmw-700-coup%C3%A8.112006/page-3;03/10/2006 00:00;lorenzo 61;'Hai sostituito almeno oli filtro e liquido refrigerante prima di avviarla?non è bene far girare liquidi vecchi nel motore!:wink:';la macchina è del 1964 lorenzo 61 aveva ragione. comunque ho messo l'annuncio anche su altri siti. ciao raga ! ! ! ! ;BMW;700 Coupé;positivo;;;;;;;;;;;;
Fiat Grande Punto Sport StarJet: Ordinata!;https://www.autopareri.com/forums/topic/23043-fiat-grande-punto-sport-starjet-ordinata;15/04/2007 11:20;SaiKiSono;;congratulazioni.....il colore mi piace molto... ;Fiat;Grande Punto Sport StarJet;positivo;;;positivo;;;;;;;;;
Basta mi sono stancato: passo in Alfa;https://www.bmwpassion.com/forum/threads/basta-mi-sono-stancato-passo-in-alfa.26339/page-2;04/07/2004 00:00;hell;Mi era parso di capire che cercavi Km. ho trovato questa dalle tue parti : http://www.autoscout24.it/ita/newcardetail.asp?ts=4379312&id=49081202... Grazie della dritta hell!! :wink: L'avevo vista pure io ma ahimè le liquidà sull'acuisto si dovrebbero avere verso fine anno e indi fino ad allora mi limito a raccogliere il maggior numero di opnioni ed informazioni al riguardo. 'Mi era parso di capire che cercavi Km. ho trovato questa dalle tue parti : http://www.autoscout24.it/ita/newcardetail.asp?ts=4379312&id=49081202';Marco....... te possino ! ! ! ! ;Alfa Romeo;;negativo;;;;;;;;;;;;
Porsche i risultati del progetto FastCharge: ricarica ultra rapida fino a 450 kW - HDmotori.it;http://www.hdmotori.it/2018/12/13/porsche-fastcharge-ricarica-450-kw-potenza-info/;14/12/2018 10:19;Bauscia;;Sisi in bicicletta vai ovunque infatti a milano per non morire i ciclisti stanno tutti sopra al marciapiede.A milano in bici stai talmente sereno che la gente si assicura pure quella.;;;negativo;;;;;;;;;;;;
Problema commutazione gpl;https://forum.quattroruote.it/threads/problema-commutazione-gpl.93835/;02/02/2015 00:00;albert56;;penso che ci sia il filtro dopo il polmone pieno prova a cambiarlo ;;;neutro;;;;;;;;;;;;
Marchionne: Ora il rilancio dell'Alfa Romeo!;https://www.autopareri.com/forums/topic/17248-marchionne-ora-il-rilancio-dellalfa-romeo;04/12/2005 18:51;il FUSI;;Oh il primo della Fiat che dice quello che VA DETTO. E speriamo che lo pensi anche. ;Fiat;;positivo;;;;;;;;;;;;
Renault Mégane Coupè (Topic Ufficiale - 2008);https://www.autopareri.com/forums/topic/30725-renault-m%C3%A9gane-coup%C3%A8-topic-ufficiale-2008?&page=2#comments;02/10/2008 13:27;Coaster;;"trovo molto brutto l'inserto argentato nel frontale e il culone così ""tanto"" fiancata nella norma tetto troppo spiovente..e già mi immagino che goduria in manovra con quest'auto.. ";Renault;Mégane Coupè;negativo;;;negativo;;negativo;;;;;;;
consiglio per  acquisti: Range Rover Sport;https://forum.quattroruote.it/threads/consiglio-per-acquisti-range-rover-sport.14817/;19/10/2009 00:00;leolito;;"Settimana scorsa ero in conce ( ammo sterzo Wrangler ""scoppiato"" ) e parlando con la forza vendita mi hanno menzionato non arrivera' prima della fine della prox estate se non verso fine anno. Tardi molto .. quello attuale e' agli sgoccioli ( anche se valido imho ) . ";;Range Rover Sport;neutro;;;;;;;;;;;;
Dossier Sportive Qr....vari tempi a confronto!!!;https://www.bmwpassion.com/forum/threads/dossier-sportive-qr-vari-tempi-a-confronto.26968/;01/02/2005 00:00;b0sh;"infatti il tempo della maserati ha dell'incredibile...nn sò come sia possibile ma la spider gransport va + forte d 1.4 sec rispetto alla coupè gransport...... E che notoriamente son chiod che notoriamente sono più lente delle M3. Quella pista e Quattroruote hanno un'attendibilità prossima a 0. Dai... il 330d 184CV fece il solito tempo dell'Elise S1: neanche nelle prossime 10 vite! ""infatti il tempo della maserati ha dell'incredibile...nn sò come sia possibile ma la spider gransport va + forte d 1.4 sec rispetto alla coupè gransport...""";Ho comprato come da topic il giornale in questione e sono saltati fuori dei tempi interessanti: la sorpresa in positivo è la Maserati Gransport Spyder mentre quella in negativo è la RS4 ! ! ! :wink: Bel tempo della Z4 M soprattutto a fronte di un peso nn proprio piuma come alcuni si potrebbero aspettare ovvero 1550kg ! ! ! :exclaim: Qui sotto i vari tempi: Maserati GranSport Spyder 1.21.370 BMW Z4 M roadster 1.22.585 Porsche Cayman S 1.23.448 Mercedes SLK 55 AMG 1.23.819 Porsche Boxster S 1.24.230 Chrysler Crossfire 1.24.978 Nissan 350Z 300cv 1.25.612 La RS4 a parte ke di motore ha fatto il km da fermo in 24sec ( Z4 M 24.1sec ) ma il tempo è molto negativo: Mitsubischi Lancer Evo IX 1.21.806 Subaru Impreza STI 1.22.390 BMW M3 SMG II 1.22.599 Audi RS4 1.24.043 A voi i commenti ! ! ! :wink: ;;;positivo;;;;;;;;;;;;
dr 4;https://forum.quattroruote.it/threads/dr-4.113265/page-2;23/01/2018 00:00;NEWsuper5;"""Secondo il C-NCAP ha 5 stell quindi è possibile che un 3 o 4 stelle le prenderebbe anche all'euroNCAP... Googolando in rete sembrerebbe che abbiano tenuto conto degli standard europei durante la progettazione (esiste anche un Jac Design Center a Torino!) .. Il dubbio resta sugli airbag: 4 o 6?""";Ciò può valere per la DR4 ma i modelli precedenti ancora regolarmente in commercio ? ;;DR4;neutro;;;;;;;;;;;;
