Titolo,URL,Timestamp,User,(Testo Citato),TESTO,Costruttore,Modello,Brand,Interni,Esterni,Meccanica,Prestazioni,Consumi/Autonomia,Motore,Elettrico,Fuoristrada,Elettronica di Bordo,Manutenzione,Assistenza/Concessionari
Megane II (2004) ventilatore abitacolo e/o resistenza...aiuto!!!,https://forum.quattroruote.it/threads/megane-ii-2004-ventilatore-abitacolo-e-o-resistenza-aiuto.116890/,2018-06-06 00:00:00,pas.laragione@gmail.com,,ciao a tutti Ho bisogno del vs supporto sono quasi alla disperazione. Ho una renault megane II 1.5 dci del 2004. Il vantilatore abitacolo non funziona più ( ne caldo ne freddo ) i comandi del clima funzionano e sento il motore a/c entrare in funzione ma niente aria fredda. Ho letto qualche post su internet e visto qualche video. Si parla di un difetto/problema noto. Gli indiziati sono o la resistenza o il ventilatore e considerando le posizioni demoniache in cui sono state collocate alcune officine mi hanno chiesto solo per smontare e SENZA CONSIDERARE I COSTI DEGLI EVENTUALI PEZZI DI RICAMBIO circa 400€ per... Vi prego datemi qualche indicazione. La macchina è nera e appena la temperatura esterna è sui 25 °C l'abitacolo diventa un forno. grazi mille e buona giornata ,,,,,,,,,,,,,,
Nuova Kia Rio 2011,https://forum.quattroruote.it/threads/nuova-kia-rio-2011.53302/page-82,2012-03-11 00:00:00,Guidarepilotare,"""La garanzia dei 7 anni è senza dubbio un enorme vantaggi non voglio nemmeno discuterne... Volevo solo puntualizzare ch non è un prodotto sottopagato come tanti pensano... Se non vi piace la punt c'è anche la FIEST che è un prodotto veramente eccezzional molto commerciabile anche da usata... A parte la garanzi sò di certo che una Fiesta costa al massimo 1000 euro in più di una RIO (ho visto i preventivi di amici)!!! Comunque la Rio anche a mè piac solo che non è regalata... tutto quà!!!""",Io preferirei fare confronti con la Polo più che con la Fiesta visto che qualitativamente parlando la Polo è un riferimento li la differenza di prezzo è ben superiore e alcune combinazioni di accessori nemmeno si possono avere. Faccio in conclusione riflettere sul fatto che la macchina l'ho comprata per tenerla e che anche dovessi rivenderla entro i sette anni sarebbe un appeal notevole avere la garanzia ! ,,,,,,,,,,,,,,
4r prova la 599gtb,https://www.bmwpassion.com/forum/threads/4r-prova-la-599gtb.29291/page-2,2004-11-04 00:00:00,Mpower3246,,Già......come mai è sparito ? ,,,,,,,,,,,,,,
Alfa Romeo Giulia 2016,https://www.autopareri.com/forums/topic/60616-alfa-romeo-giulia-2016?&page=593#comments,2016-05-17 00:48:56,select,,focus sull'infotainment... la DAB è optional ? tra l'altro senza il touch sul rotellone sembra piuttosto macchinoso da usare ,,,,,,,,,,,,,,
Regolazione ammortizzatori PSS9 e camber.,http://www.porschemania.it/discus/messages/502416/749573.html?1448283150,2015-09-07 17:50:00,fast_z,,Interessa pure a me \xe8 una modifica che far\xf2... Ho letto in giro di un -1 davanti ma aspetto esperti. I braccetti dove li hai trovati ? ,,,,,,,,,,,,,,
Trionfo Opel Astra SW,https://www.autopareri.com/forums/topic/9956-trionfo-opel-astra-sw,2005-05-02 15:51:05,Abarth03,,A Torino ne ho viste già diverse anche station wagon... ,,,,,,,,,,,,,,
domande per renault_it,https://forum.quattroruote.it/threads/domande-per-renault_it.4781/page-61,2010-07-03 00:00:00,overdose13,,"Sig renault io ho provveduto a fare tutte le mi comunicazioni a mezzo AR ormai da un mese circa.La settimana passata la mia auto è stata fermata di nuovo anke per il ponte difettoso ke a avolte negate esistere e a volte dite ke invece è proprio difettoso e da sostituire.Siete incomprensibili.Ora Lei sarebbe cosi gentile da dirmi se corrisponde a realta quanto mi è stato riferito in officina e ke scrivo di seguito ? ""Sono in circolazione vetture renault con ponte diffettoso ke comporta pero solo rumore sul pianale e nessun pericolo in marcia. Pertanto essendo ancora in produzione lotti difettosi e non avendo ancora il fornitore dei ponti risolto il problema ci riserviamo di ricontattarvi per la sostituzione appena il problema verra risolto"" Chi ha un briciolo di sale in zucca deduce che state continuando CONSAPELVOLMENTE ad installare ponti difettosi ( seppur sicuri ) diversamente avete risolto il problema e per cui non capisco cosa aspettate a sostituire. Aspetto chiarimenti meno ridicoli grazie ",,,,,,,,,,,,,,
Tempi di consegna BIBLICI..cosa mi consigliate di fare ?,https://forum.quattroruote.it/threads/tempi-di-consegna-biblici-cosa-mi-consigliate-di-fare.116100/page-3,2018-05-25 00:00:00,edoardosavoia,,tutti che si lamentano dei tempi di consegna VW poi però tutti ordinano la VW. Scegliere altri marchi no eh ? ,,,,,,,,,,,,,,
[USA] Fiat 5oo 2011,https://www.autopareri.com/forums/topic/39756-usa-fiat-5oo-2011?&page=32#comments,2011-07-01 13:07:20,Cosimo,,la tengono dentro al cassettino portaoggetti ,,,,,,,,,,,,,,
Nuova Kia Rio 2011,https://forum.quattroruote.it/threads/nuova-kia-rio-2011.53302/page-46,2012-02-07 00:00:00,centino88,"michelemtm ha scritto: io ho preso i cerchi da 1 considerato il numero di km che faccio all'anno e la tipologia di strade che percorro mediamente per me il sovrapprezzo annuale sarà ridicolo sia di consumo di gasolio che di consumo gomm guadagnando quel qualcosa in tenuta di strada e sicurezza che mi piace avere.. riguardo il confort vengo da una 147 quindi ho solo da guadagnarci. poi ragazzi sono sfumatur c'è chi la voleva con i 15 per dire! ognuno è libero di fare la scelta che più ritiene adatta alle proprie esigenze no? ... è ovvio...e che ho detto? IO sottoscritto la penso così: altri hanno esigenze diverse e sono liberi di decidere cosa è meglio per loro (e per il loro portafoglio) di sicuro non farò la figura del barbone se la prendo bianca con gli specchietti e le maniglie neri 8)... Con la Rio fai bella figura a prescindere dall'allestimento!! "" michelemtm ha scritto: io ho preso i cerchi da 1 considerato il numero di km che faccio all'anno e la tipologia di strade che percorro mediamente per me il sovrapprezzo annuale sarà ridicolo sia di consumo di gasolio che di consumo gomm guadagnando quel qualcosa in tenuta di strada e sicurezza che mi piace avere.. riguardo il confort vengo da una 147 quindi ho solo da guadagnarci. poi ragazzi sono sfumatur c'è chi la voleva con i 15 per dire! ognuno è libero di fare la scelta che più ritiene adatta alle proprie esigenze no? ... è ovvio...e che ho detto? IO sottoscritto la penso così: altri hanno esigenze diverse e sono liberi di decidere cosa è meglio per loro (e per il loro portafoglio) di sicuro non farò la figura del barbone se la prendo bianca con gli specchietti e le maniglie neri 8) ""io ho preso i cerchi da 1 considerato il numero di km che faccio all'anno e la tipologia di strade che percorro mediamente per me il sovrapprezzo annuale sarà ridicolo sia di consumo di gasolio che di consumo gomm guadagnando quel qualcosa in tenuta di strada e sicurezza che mi piace avere.. riguardo il confort vengo da una 147 quindi ho solo da guadagnarci. poi ragazzi sono sfumatur c'è chi la voleva con i 15 per dire! ognuno è libero di fare la scelta che più ritiene adatta alle proprie esigenze no? """,Quoto alla grande ! ! ! ! 8 ) ,,,,,,,,,,,,,,
